"Seadu-sereanr";"NA";"Liik";"Konto";"Objektikood";"COFOG";"NA";"2016.ariigieelarveseadus";"NA";"NA";"NA"
"15";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-4 314 099";NA;NA;NA
"16";"PiirmääradjaarvestuslikudvahendidKULUD";NA;NA;NA;NA;NA;"-4 286 917";NA;NA;NA
"17";NA;NA;NA;NA;NA;"Tegevuskulud";"-4 286 917";NA;NA;NA
"18";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-498 179";NA;NA;NA
"19";NA;"10";"41";"SE000026";10;"Avaliku sektori eripensionid ja pensionisuurendused";"-83 392";NA;NA;NA
"20";NA;"20";"45";NA;1;"Antud sihtotstarbelised toetused";"-230 082";NA;NA;NA
"21";NA;"20";"45";NA;8;"Antud sihtotstarbelised toetused";"-184 705";NA;NA;NA
"22";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-3 788 738";NA;NA;NA
"23";NA;"10";"5";"SE000001";1;"Õppelaenude tagasimaksmisega seotud kulud";"-273";NA;NA;NA
"24";NA;"10";"5";"SEP20001";1;"Esindustasu";"-42 889";NA;NA;NA
"25";NA;"10";"5";"SEP20002";1;"Presidendi töötasu";"-211 022";NA;NA;NA
"26";NA;"20";"5";NA;1;"74000234. Vabariigi Presidendi Kantselei";"-3 503 211";NA;NA;NA
"27";NA;"20";"5";"SE000028";1;"Vahendid Riigi Kinnisvara ASile";"-31 343";NA;NA;NA
"28";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-27 182";NA;NA;NA
"29";NA;"30";NA;"INP20000";1;"Investeeringud";"-27 182";NA;NA;NA
"30";"TuludjatuludestsõltuvadkuludTULUD";NA;NA;NA;NA;NA;"27 482";NA;NA;NA
"31";NA;NA;"3";NA;NA;"Tegevustulud";"27 482";NA;NA;NA
"32";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"27 482";NA;NA;NA
"33";NA;"40";"322";NA;NA;"Tulu majandustegevusest";"27 482";NA;NA;NA
"34";NA;"KULUD";NA;NA;NA;NA;"-27 482";NA;NA;NA
"35";NA;NA;NA;NA;NA;"Tegevuskulud";"-27 482";NA;NA;NA
"36";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-27 482";NA;NA;NA
"37";NA;"40";"5";NA;1;"74000234. Vabariigi Presidendi Kantselei";"-27 482";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";NA;"Osa 3. RIIGIKONTROLL";NA;NA;NA;NA;NA;NA;NA;NA
"2";NA;NA;NA;NA;NA;"KULUD JA INVESTEERINGUD KOKKU";"-5 155 839";NA;NA;NA
"3";NA;NA;NA;NA;1;"Üldised valitsussektori teenused";"-4 703 810";NA;NA;NA
"4";NA;NA;NA;NA;10;"Sotsiaalne kaitse";"-452 029";NA;NA;NA
"5";NA;"KULUD KOKKU";NA;NA;NA;NA;"-5 121 365";NA;NA;NA
"6";NA;NA;NA;NA;NA;"Tegevuskulud";"-4 669 336";NA;NA;NA
"7";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-910";NA;NA;NA
"8";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-4 668 426";NA;NA;NA
"9";NA;NA;"71";NA;NA;"Antud siirded riigiasutustele";"-452 029";NA;NA;NA
"10";NA;"Konsolideerimisgrupi kulud";NA;NA;NA;NA;"-452 029";NA;NA;NA
"11";NA;"INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-34 474";NA;NA;NA
"12";"PiirmääradjaarvestuslikudvahendidKULUDJAINVESTEERINGUDKOKKU";NA;NA;NA;NA;NA;"-5 155 839";NA;NA;NA
"13";NA;"KULUD";NA;NA;NA;NA;"-5 121 365";NA;NA;NA
"14";NA;NA;NA;NA;NA;"Tegevuskulud";"-4 669 336";NA;NA;NA
"15";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-910";NA;NA;NA
"16";NA;"20";"45";"SE000003";1;"Liikmemaksud";"-910";NA;NA;NA
"17";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-4 668 426";NA;NA;NA
"18";NA;"10";"5";"SE000001";1;"Õppelaenude tagasimaksmisega seotud kulud";"-2 207";NA;NA;NA
"19";NA;"20";"5";NA;1;"74000056. Riigikontroll";"-4 120 208";NA;NA;NA
"20";NA;"20";"5";"SE000028";1;"Vahendid Riigi Kinnisvara ASile";"-546 011";NA;NA;NA
"21";NA;NA;"71";NA;NA;"Antud siirded riigiasutustele";"-452 029";NA;NA;NA
"22";NA;"10";"71";"TP016001";10;"Riigikontrolli ametnike pension - Sotsiaalkindlustusametile";"-452 029";NA;NA;NA
"23";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-34 474";NA;NA;NA
"24";NA;"30";NA;"INP30000";1;"Investeeringud";"-34 474";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";NA;"Osa 4. ÕIGUSKANTSLERI KANTSELEI";NA;NA;NA;NA;NA;NA;NA;NA
"2";NA;NA;NA;NA;NA;"TULUD KOKKU";NA;NA;NA;NA
"3";NA;NA;NA;NA;NA;"KULUD JA INVESTEERINGUD KOKKU";"-2 269 402";NA;NA;NA
"4";NA;NA;NA;NA;NA;"KULUD KOKKU";"-2 239 402";NA;NA;NA
"5";NA;NA;NA;NA;1;"Üldised valitsussektori teenused";"-2 181 866";NA;NA;NA
"6";NA;NA;NA;NA;10;"Sotsiaalne kaitse";"-57 536";NA;NA;NA
"7";NA;NA;NA;NA;NA;"Tegevuskulud";"-2 181 866";NA;NA;NA
"8";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-1 850";NA;NA;NA
"9";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-2 180 016";NA;NA;NA
"10";NA;NA;"71";NA;NA;"Antud siirded riigiasutustele";"-57 536";NA;NA;NA
"11";NA;NA;NA;NA;NA;"Konsolideerimisgrupi kulud";"-57 536";NA;NA;NA
"12";"Piir";"määradjaarvestuslikudvahendidKULUD";NA;NA;NA;NA;"-2 239 402";NA;NA;NA
"13";"Piir";NA;NA;NA;NA;"Tegevuskulud";"-2 181 866";NA;NA;NA
"14";"Piir";NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-1 850";NA;NA;NA
"15";"Piir";"20";"45";"SE000003";1;"Liikmemaksud";"-1 850";NA;NA;NA
"16";"Piir";NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-2 180 016";NA;NA;NA
"17";"Piir";"10";"5";"SE000001";1;"Õppelaenude tagasimaksmisega seotud kulud";"-1 281";NA;NA;NA
"18";"Piir";"20";"5";NA;1;"74000464. Õiguskantsleri Kantselei";"-1 972 660";NA;NA;NA
"19";"Piir";"20";"5";"0";1;"Vahendid Riigi Kinnisvara ASile";"-206 075";NA;NA;NA
"20";"Piir";NA;"71";NA;NA;"Antud siirded riigiasutustele";"-57 536";NA;NA;NA
"21";"Piir";"10";"71";"TP016001";10;"Õiguskantsleri ametipension - Sotsiaalkindlustusametile";"-57 536";NA;NA;NA
"22";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-30 000";NA;NA;NA
"23";NA;"30";NA;"INP50000";3;"Investeeringud";"-30 000";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";NA;"Osa 5. RIIGIKOHUS";NA;NA;NA;NA;NA;NA;NA;NA
"2";NA;"TULUD KOKKU";NA;NA;NA;NA;"183 100";NA;NA;NA
"3";NA;NA;"3";NA;NA;"Tegevustulud";"183 100";NA;NA;NA
"4";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"3 100";NA;NA;NA
"5";NA;NA;"320";NA;NA;"Riigilõivud";"600";NA;NA;NA
"6";NA;NA;"322";NA;NA;"Tulu majandustegevusest";"2 500";NA;NA;NA
"7";NA;NA;"38";NA;NA;"Muud tulud";"180 000";NA;NA;NA
"8";NA;NA;"388";NA;NA;"Muud eespool nimetamata tulud";"180 000";NA;NA;NA
"9";NA;NA;NA;NA;NA;"KULUD JA INVESTEERINGUD KOKKU";"-5 357 857";NA;NA;NA
"10";NA;NA;NA;NA;3;"Avalik kord ja julgeolek";"-4 727 970";NA;NA;NA
"11";NA;NA;NA;NA;10;"Sotsiaalne kaitse";"-629 887";NA;NA;NA
"12";NA;"KULUD KOKKU";NA;NA;NA;NA;"-5 325 901";NA;NA;NA
"13";NA;NA;NA;NA;NA;"Tegevuskulud";"-4 696 014";NA;NA;NA
"14";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-15 359";NA;NA;NA
"15";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-4 680 655";NA;NA;NA
"16";NA;NA;"71";NA;NA;"Antud siirded riigiasutustele";"-629 887";NA;NA;NA
"17";NA;"Konsolideerimisgrupi kulud";NA;NA;NA;NA;"-629 887";NA;NA;NA
"18";NA;"INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-31 956";NA;NA;NA
"19";"PiirmääradjaarvestuslikudvahendidTULUD";NA;NA;NA;NA;NA;"180 600";NA;NA;NA
"20";NA;NA;"3";NA;NA;"Tegevustulud";"180 600";NA;NA;NA
"21";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"600";NA;NA;NA
"22";NA;"10";"320";NA;NA;"Riigilõivud";"600";NA;NA;NA
"23";NA;NA;"38";NA;NA;"Muud tulud";"180 000";NA;NA;NA
"24";NA;"10";"388";NA;NA;"Muud eespool nimetamata tulud";"180 000";NA;NA;NA
"25";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-5 355 357";NA;NA;NA
"26";NA;"KULUD";NA;NA;NA;NA;"-5 323 401";NA;NA;NA
"27";NA;NA;NA;NA;NA;"Tegevuskulud";"-4 693 514";NA;NA;NA
"28";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-15 359";NA;NA;NA
"29";NA;"20";"45";NA;3;"Antud sihtotstarbelised toetused";"-2 237";NA;NA;NA
"30";NA;"20";"45";"SE000003";3;"Liikmemaksud";"-13 122";NA;NA;NA
"31";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-4 678 155";NA;NA;NA
"32";NA;"10";"5";"SE000001";3;"Õppelaenude tagasimaksmisega seotud kulud";"-3 312";NA;NA;NA
"33";NA;"10";"5";"SEP50001";3;"Kohtunike töötasu";"-1 409 781";NA;NA;NA
"34";NA;"10";"5";"SEP50002";3;"Esindustasu";"-12 708";NA;NA;NA
"35";NA;"20";"5";NA;3;"74001127. Riigikohus";"-3 241 313";NA;NA;NA
"36";NA;"20";"5";"SE000028";3;"Vahendid Riigi Kinnisvara ASile";"-11 041";NA;NA;NA
"37";NA;NA;"71";NA;NA;"Antud siirded riigiasutustele";"-629 887";NA;NA;NA
"38";NA;"10";"71";"TP016001";10;"Kohtunike pensionid - Sotsiaalkindlustusametile";"-629 887";NA;NA;NA
"39";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-31 956";NA;NA;NA
"40";NA;"30";NA;"INP50000";3;"Investeeringud";"-31 956";NA;NA;NA
"41";"TuludjatuludestsõltuvadkuludTULUD";NA;NA;NA;NA;NA;"2 500";NA;NA;NA
"42";NA;NA;"3";NA;NA;"Tegevustulud";"2 500";NA;NA;NA
"43";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"2 500";NA;NA;NA
"44";NA;"40";"322";NA;NA;"Tulu majandustegevusest";"2 500";NA;NA;NA
"45";NA;"KULUD";NA;NA;NA;NA;"-2 500";NA;NA;NA
"46";NA;NA;NA;NA;NA;"Tegevuskulud";"-2 500";NA;NA;NA
