"Seadu-sereanr";"NA";"Liik";"Konto";"Objektikood";"COFOG";"NA";"2016.ariigieelarveseadus";"NA";"NA";"NA"
"42";NA;"20";"45";"SE060002";8;"Eesti Rahvusringhääling";"-30 049 512";NA;NA;NA
"43";NA;"20";"45";"SE060003";8;"Rahvusraamatukogu";"-5 839 198";NA;NA;NA
"44";NA;"30";"45";"IN060000";8;"Investeeringutoetused";"-23 023 005";NA;NA;NA
"45";NA;"30";"45";"IN000099";8;"Täiendav eraldis";"-225 500";NA;NA;NA
"46";NA;"20";"45";"SE000003";8;"Liikmemaksud";"-380 252";NA;NA;NA
"47";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-14 897 545";NA;NA;NA
"48";NA;"10";"5";"SE000001";8;"Õppelaenude tagasimaksmisega seotud kulud";"-15 000";NA;NA;NA
"49";NA;"20";"5";NA;8;"70000941. Kultuuriministeerium";"-4 750 551";NA;NA;NA
"50";NA;"20";"5";NA;8;"70000958. Muinsuskaitseamet";"-1 487 385";NA;NA;NA
"51";NA;"20";"5";NA;8;"70001159. Eesti Hoiuraamatukogu";"-460 850";NA;NA;NA
"52";NA;"20";"5";NA;8;"70001030. Eesti Lastekirjanduse Keskus";"-429 944";NA;NA;NA
"53";NA;"20";"5";NA;8;"70001024. Rahvakultuuri Keskus";"-467 818";NA;NA;NA
"54";NA;"20";"5";NA;8;"70004347. Võru Instituut";"-534 267";NA;NA;NA
"55";NA;"20";"5";"SE000028";8;"Vahendid Riigi Kinnisvara ASile";"-6 700 832";NA;NA;NA
"56";NA;"20";"5";"SE000033";8;"Vahendid EL Nõukogu eesistumiseks";"-45 898";NA;NA;NA
"57";NA;"20";"5";"SE000099";8;"Täiendav eraldis";"-5 000";NA;NA;NA
"58";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-5 680 778";NA;NA;NA
"59";NA;"30";NA;"IN060000";8;"Investeeringud";"-5 673 778";NA;NA;NA
"123";NA;"30";NA;"IN000099";8;"Täiendav eraldis";"-7 000";NA;NA;NA
"60";"TuludjatuludestsõltuvadkuludTULUD";NA;NA;NA;NA;NA;"13 143 157";NA;NA;NA
"61";NA;NA;"3";NA;NA;"Tegevustulud";"13 143 157";NA;NA;NA
"62";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"5 164 255";NA;NA;NA
"63";NA;"40";"322";NA;NA;"Tulu majandustegevusest";"5 164 255";NA;NA;NA
"64";NA;NA;"35";NA;NA;"Saadud toetused";"7 978 902";NA;NA;NA
"65";NA;"40";"358";NA;NA;"Saadud kodumaised toetused";"147 600";NA;NA;NA
"66";NA;"40";"358";"TP014001";NA;"Saadud kodumaised toetused";"461 343";NA;NA;NA
"67";NA;"40";"359";NA;NA;"Saadud välistoetused";"7 369 959";NA;NA;NA
"68";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-13 143 157";NA;NA;NA
"69";NA;"KULUD";NA;NA;NA;NA;"-12 256 657";NA;NA;NA
"70";NA;NA;NA;NA;NA;"Tegevuskulud";"-12 256 657";NA;NA;NA
"71";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-5 562 579";NA;NA;NA
"72";NA;"40";"45";NA;8;"Antud sihtotstarbelised toetused";"-5 192 718";NA;NA;NA
"73";NA;"40";"45";NA;8;"Välistoetuste riiklik kaasfinantseering";"-369 861";NA;NA;NA
"74";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-6 694 078";NA;NA;NA
"75";NA;"40";"5";NA;8;"70000941. Kultuuriministeerium";"-652 191";NA;NA;NA
"76";NA;"40";"5";NA;8;"70000958. Muinsuskaitseamet";"-272 211";NA;NA;NA
"77";NA;"40";"5";NA;8;"70001159. Eesti Hoiuraamatukogu";"-200";NA;NA;NA
"78";NA;"40";"5";NA;8;"70001030. Eesti Lastekirjanduse Keskus";"-25 000";NA;NA;NA
"79";NA;"40";"5";NA;8;"70001024. Rahvakultuuri Keskus";"-39 000";NA;NA;NA
"80";NA;"40";"5";NA;8;"70004347. Võru Instituut";"-86 150";NA;NA;NA
"81";NA;"40";"5";NA;8;"Muuseumid";"-5 527 844";NA;NA;NA
"82";NA;"40";"5";NA;8;"Välistoetuste riiklik kaasfinantseering";"-91 482";NA;NA;NA
"83";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-886 500";NA;NA;NA
"84";NA;"40";NA;"IN060000";8;"Investeeringud";"-886 500";NA;NA;NA
"85";"EdasiantavadmaksudTULUD";NA;NA;NA;NA;NA;"30 246 703";NA;NA;NA
"86";NA;NA;"30";NA;NA;"Maksud ja sotsiaalkindlustusmaksed";"30 246 703";NA;NA;NA
"87";NA;"55";"30";"TP014003";NA;"Aktsiis - Maksu- ja Tolliametilt";"15 155 000";NA;NA;NA
"88";NA;"56";"30";"TP014003";NA;"Hasartmängumaks - Maksu- ja Tolliametilt";"15 091 703";NA;NA;NA
"89";NA;"KULUD";NA;NA;NA;NA;"-30 246 703";NA;NA;NA
"90";NA;NA;NA;NA;NA;"Tegevuskulud";"-3 453 703";NA;NA;NA
"91";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-3 406 392";NA;NA;NA
"92";NA;"56";"45";"SE000019";8;"Hasartmängumaks - Kultuuri ja spordiprojektid";"-3 406 392";NA;NA;NA
"93";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-47 311";NA;NA;NA
"94";NA;"56";"5";"SE000020";8;"Hasartmängumaks - Nõukogu teenindamine";"-47 311";NA;NA;NA
"95";NA;NA;"60";NA;NA;"Muud tegevuskulud";"-26 793 000";NA;NA;NA
"96";NA;"55";"601";"SE000015";8;"Aktsiis - Kultuurkapital";"-15 155 000";NA;NA;NA
"97";NA;"56";"601";"SE000015";8;"Hasartmängumaks - Kultuurkapital";"-11 638 000";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";NA;"Jagu 7. MAJANDUS - JA KOMMUNIKATSIOONIMINISTEERIUMI valitsemisala";NA;NA;NA;NA;NA;NA;NA;NA
"2";NA;"TULUD KOKKU";NA;NA;NA;NA;"441 943 525";NA;NA;NA
"3";NA;NA;"3";NA;NA;"Tegevustulud";"362 487 525";NA;NA;NA
"4";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"53 263 665";NA;NA;NA
"5";NA;NA;"320";NA;NA;"Riigilõivud";"31 493 694";NA;NA;NA
"6";NA;NA;"322";NA;NA;"Tulu majandustegevusest";"2 148 000";NA;NA;NA
"7";NA;NA;"323";NA;NA;"Muu kaupade ja teenuste müük";"19 621 971";NA;NA;NA
"8";NA;NA;"35";NA;NA;"Saadud toetused";"309 100 155";NA;NA;NA
"9";NA;NA;"358";NA;NA;"Saadud kodumaised toetused";"8 681 797";NA;NA;NA
"10";NA;NA;"359";NA;NA;"Saadud välistoetused";"300 418 358";NA;NA;NA
"11";NA;NA;"38";NA;NA;"Muud tulud";"123 705";NA;NA;NA
"12";NA;NA;"381";NA;NA;"Tulud varude ja põhivara müügist";"44 000";NA;NA;NA
"13";NA;NA;"383";NA;NA;"Trahvid ja muud varalised karistused";"61 100";NA;NA;NA
"14";NA;NA;"388";NA;NA;"Muud eespool nimetamata tulud";"18 605";NA;NA;NA
"15";NA;NA;"655";NA;NA;"Finantstulud";"79 456 000";NA;NA;NA
"16";NA;"Konsolideerimisgrupi tulud";NA;NA;NA;NA;"304 838 203";NA;NA;NA
"17";NA;NA;NA;NA;NA;"KULUD JA INVESTEERINGUD KOKKU";"-663 747 978";NA;NA;NA
"18";NA;NA;NA;NA;4;"Majandus";"-663 279 978";NA;NA;NA
"19";NA;NA;NA;NA;5;"Keskkonnakaitse";"-468 000";NA;NA;NA
"20";NA;"KULUD KOKKU";NA;NA;NA;NA;"-516 040 724";NA;NA;NA
"21";NA;NA;NA;NA;NA;"Tegevuskulud";"-489 864 348";NA;NA;NA
"22";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-367 607 914";NA;NA;NA
"23";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-121 756 434";NA;NA;NA
"24";NA;NA;"60";NA;NA;"Muud tegevuskulud";"-200 000";NA;NA;NA
"25";NA;NA;NA;NA;NA;"Määratlemata majandusliku sisuga tegevuskulud";"-300 000";NA;NA;NA
"26";NA;NA;"71";NA;NA;"Antud siirded riigiasutustele";"-26 176 376";NA;NA;NA
"27";NA;"Konsolideerimisgrupi kulud";NA;NA;NA;NA;"-26 176 376";NA;NA;NA
"28";NA;"INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-147 707 254";NA;NA;NA
"29";NA;"FINANTSEERIMISTEHINGUD KOKKU";NA;NA;NA;NA;"-32 650 000";NA;NA;NA
"30";NA;"Välistoetuste riiklik kaasfinantseering";NA;NA;NA;NA;"-8 681 797";NA;NA;NA
"31";"PiirmääradjaarvestuslikudvahendidTULUD";NA;NA;NA;NA;NA;"130 695 370";NA;NA;NA
"32";NA;NA;"3";NA;NA;"Tegevustulud";"51 239 370";NA;NA;NA
"33";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"51 115 665";NA;NA;NA
"34";NA;"10";"320";NA;NA;"Riigilõivud";"31 493 694";NA;NA;NA
"35";NA;"10";"323";NA;NA;"Muu kaupade ja teenuste müük";"19 621 971";NA;NA;NA
"36";NA;NA;"38";NA;NA;"Muud tulud";"123 705";NA;NA;NA
"37";NA;"10";"381";NA;NA;"Tulud varude ja põhivara müügist";"44 000";NA;NA;NA
"38";NA;"10";"383";NA;NA;"Trahvid ja muud varalised karistused";"61 100";NA;NA;NA
"39";NA;"10";"388";NA;NA;"Muud eespool nimetamata tulud";"18 605";NA;NA;NA
"40";NA;"10";"655";NA;NA;"Finantstulud";"79 456 000";NA;NA;NA
"41";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-352 499 823";NA;NA;NA
"42";NA;"KULUD";NA;NA;NA;NA;"-216 268 221";NA;NA;NA
"43";NA;NA;NA;NA;NA;"Tegevuskulud";"-189 591 845";NA;NA;NA
"44";NA;"20";NA;"TK070001";4;"Ühistranspordi toetuste reserv";"-300 000";NA;NA;NA
"45";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-74 578 139";NA;NA;NA
"46";NA;"20";"45";NA;4;"Antud sihtotstarbelised toetused";"-68 287 235";NA;NA;NA
"47";NA;"20";"45";NA;5;"Antud sihtotstarbelised toetused";"-468 000";NA;NA;NA
"48";NA;"20";"45";"SE000099";4;"Täiendav eraldis";"-90 000";NA;NA;NA
"49";NA;"30";"45";"IN070000";4;"Antud sihtotstarbelised toetused";"-1 737 000";NA;NA;NA
"50";NA;"30";"45";"SE000003";4;"Liikmemaksud";"-3 995 904";NA;NA;NA
"51";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-115 013 706";NA;NA;NA
"52";NA;"10";"5";"SE000001";4;"Õppelaenude tagasimaksmisega seotud kulud";"-12 890";NA;NA;NA
"53";NA;"20";"5";NA;4;"70003158. Majandus- ja Kommunikatsiooniministeerium";"-10 558 345";NA;NA;NA
"54";NA;"20";"5";NA;4;"70000800. Lennuamet";"-1 142 950";NA;NA;NA
"55";NA;"20";"5";NA;4;"70001490. Maanteeamet";"-74 516 083";NA;NA;NA
"56";NA;"20";"5";NA;4;"70003247. Tarbijakaitseamet";"-1 706 160";NA;NA;NA
"57";NA;"20";"5";NA;4;"70002414. Veeteede Amet";"-9 209 439";NA;NA;NA
"58";NA;"20";"5";NA;4;"70003218. Tehnilise Järelevalve Amet";"-4 976 841";NA;NA;NA
"59";NA;"20";"5";NA;4;"70006317. Riigi Infosüsteemi Amet";"-6 452 577";NA;NA;NA
"60";NA;"20";"5";"SE000028";4;"Vahendid Riigi Kinnisvara ASile";"-148 218";NA;NA;NA
"61";NA;"20";"5";"SE000033";4;"Vahendid EL Nõukogu eesistumiseks";"-510 070";NA;NA;NA
"62";NA;"20";"5";"SE070004";4;"Ohutusjuurdluse Keskus";"-137 310";NA;NA;NA
"63";NA;"30";"5";"SE070003";4;"Talvine navigatsioon";"-5 642 823";NA;NA;NA
"64";NA;"20";"60";NA;4;"Muud tegevuskulud";"-200 000";NA;NA;NA
"65";NA;NA;"71";NA;NA;"Antud siirded riigiasutustele";"-26 176 376";NA;NA;NA
"66";NA;"20";"71";"TP008001";4;"Riikliku eksperdi töötasu väljamakseteks - Justiitsministeeriumile";"-6 391";NA;NA;NA
"67";NA;"20";"71";"TP014001";4;"Ühistranspordi sihtotstarbeline toetus - maavalitsustele";"-26 169 985";NA;NA;NA
"68";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-136 231 602";NA;NA;NA
"69";NA;"30";NA;"IN070000";4;"Investeeringud";"-136 231 602";NA;NA;NA
"70";"TuludjatuludestsõltuvadkuludTULUD";NA;NA;NA;NA;NA;"311 248 155";NA;NA;NA
"71";NA;NA;"3";NA;NA;"Tegevustulud";"311 248 155";NA;NA;NA
"72";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"2 148 000";NA;NA;NA
"73";NA;"40";"322";NA;NA;"Tulu majandustegevusest";"2 148 000";NA;NA;NA
"74";NA;NA;"35";NA;NA;"Saadud toetused";"309 100 155";NA;NA;NA
"75";NA;"40";"358";"TP014001";NA;"Saadud kodumaised toetused";"8 681 797";NA;NA;NA
"76";NA;"40";"359";"TP014001";NA;"Saadud välistoetused (2014+ perioodi struktuuritoetused)";"293 645 358";NA;NA;NA
"77";NA;"40";"359";"TP014001";NA;"Saadud välistoetused (Norra ja EMP finantsinstrument)";"1 562 286";NA;NA;NA
"78";NA;"40";"359";"TP014001";NA;"Saadud välistoetused (Ðveitsi-Eesti koostööprogramm)";"948 762";NA;NA;NA
"79";NA;"40";"359";"VT000099";NA;"Saadud muud välistoetused";"4 261 952";NA;NA;NA
"80";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-311 248 155";NA;NA;NA
"81";NA;"KULUD";NA;NA;NA;NA;"-299 772 503";NA;NA;NA
"82";NA;NA;NA;NA;NA;"Tegevuskulud";"-299 772 503";NA;NA;NA
"83";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-293 029 775";NA;NA;NA
"84";NA;"40";"45";NA;4;"Antud sihtotstarbelised toetused";"-286 703 731";NA;NA;NA
"85";NA;"40";"45";NA;4;"Välistoetuste riiklik kaasfinantseering";"-6 326 044";NA;NA;NA
"86";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-6 742 728";NA;NA;NA
"87";NA;"40";"5";NA;4;"70003158. Majandus- ja Kommunikatsiooniministeerium";"-2 309 130";NA;NA;NA
"88";NA;"40";"5";NA;4;"70000800. Lennuamet";"-660";NA;NA;NA
"89";NA;"40";"5";NA;4;"70001490. Maanteeamet";"-458 440";NA;NA;NA
"90";NA;"40";"5";NA;4;"70003247. Tarbijakaitseamet";"-83 998";NA;NA;NA
"91";NA;"40";"5";NA;4;"70002414. Veeteede Amet";"-400 000";NA;NA;NA
"92";NA;"40";"5";NA;4;"70003218. Tehnilise Järelevalve Amet";"-171 361";NA;NA;NA
"93";NA;"40";"5";NA;4;"70006317. Riigi Infosüsteemi Amet";"-2 567 899";NA;NA;NA
"94";NA;"40";"5";NA;4;"Välistoetuste riiklik kaasfinantseering";"-751 240";NA;NA;NA
"95";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-11 475 652";NA;NA;NA
"96";NA;"40";NA;"IN070000";4;"Investeeringud";"-9 871 139";NA;NA;NA
"97";NA;"40";NA;"IN070000";4;"Välistoetuste riiklik kaasfinantseering";"-1 604 513";NA;NA;NA
"98";"Fin.tehingudFINANTSEERIMISTEHINGUD";NA;NA;NA;NA;NA;"-32 650 000";NA;NA;NA
"99";NA;"20";"101";NA;NA;"Finantsvarade suurenemine";"-32 650 000";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";NA;"Jagu 8. MAAELUMINISTEERIUMI valitsemisala";NA;NA;NA;NA;NA;NA;NA;NA
"2";NA;"TULUD KOKKU";NA;NA;NA;NA;"313 655 825";NA;NA;NA
"3";NA;NA;"3";NA;NA;"Tegevustulud";"313 655 825";NA;NA;NA
"4";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"7 449 312";NA;NA;NA
"5";NA;NA;"320";NA;NA;"Riigilõivud";"897 766";NA;NA;NA
"6";NA;NA;"322";NA;NA;"Tulu majandustegevusest";"6 434 500";NA;NA;NA
"7";NA;NA;"323";NA;NA;"Muu kaupade ja teenuste müük";"117 046";NA;NA;NA
"8";NA;NA;"35";NA;NA;"Saadud toetused";"304 743 813";NA;NA;NA
"9";NA;NA;"358";NA;NA;"Saadus kodumaised toetused";"33 716 907";NA;NA;NA
"10";NA;NA;"359";NA;NA;"Saadud välistoetused";"271 026 906";NA;NA;NA
"11";NA;NA;"38";NA;NA;"Muud tulud";"1 462 700";NA;NA;NA
"12";NA;NA;"381";NA;NA;"Tulud varude ja põhivara müügist";"5 000";NA;NA;NA
"13";NA;NA;"382";NA;NA;"Muud tulud varadelt";"750 000";NA;NA;NA
"14";NA;NA;"383";NA;NA;"Trahvid ja muud varalised karistused";"686 200";NA;NA;NA
"15";NA;NA;"388";NA;NA;"Muud eespool nimetamata tulud";"21 500";NA;NA;NA
"16";NA;NA;NA;NA;NA;"Konsolideerimisgrupi tulud";"33 716 907";NA;NA;NA
"17";NA;NA;NA;NA;NA;"KULUD JA INVESTEERINGUD KOKKU";"-363 383 692";NA;NA;NA
"18";NA;NA;NA;NA;4;"Majandus";"-360 595 990";NA;NA;NA
"19";NA;NA;NA;NA;5;"Keskkonnakaitse";"-1 504 157";NA;NA;NA
"20";NA;NA;NA;NA;8;"Vabaaeg, kultuur ja religioon";"-1 257 336";NA;NA;NA
"21";NA;NA;NA;NA;10;"Sotsiaalne kaitse";"-26 209";NA;NA;NA
"22";NA;"KULUD KOKKU";NA;NA;NA;NA;"-359 252 031";NA;NA;NA
"23";NA;NA;NA;NA;NA;"Tegevuskulud";"-359 252 031";NA;NA;NA
"24";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-310 674 116";NA;NA;NA
"25";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-47 827 915";NA;NA;NA
"26";NA;NA;"60";NA;NA;"Muud tegevuskulud";"-750 000";NA;NA;NA
"27";NA;"INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-4 131 661";NA;NA;NA
"28";NA;"FINANTSEERIMISTEHINGUD KOKKU";NA;NA;NA;NA;"500 000";NA;NA;NA
"29";NA;"Välistoetuste riiklik kaasfinantseering";NA;NA;NA;NA;"-33 716 907";NA;NA;NA
"30";"PiirmääradjaarvestuslikudvahendidTULUD";NA;NA;NA;NA;NA;"1 727 512";NA;NA;NA
"31";NA;NA;"3";NA;NA;"Tegevustulud";"1 727 512";NA;NA;NA
"32";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"1 014 812";NA;NA;NA
"33";NA;"10";"320";NA;NA;"Riigilõivud";"897 766";NA;NA;NA
"34";NA;"10";"323";NA;NA;"Muu kaupade ja teenuste müük";"117 046";NA;NA;NA
"35";NA;NA;"38";NA;NA;"Muud tulud";"712 700";NA;NA;NA
"36";NA;"10";"381";NA;NA;"Tulud varude ja põhivara müügist";"5 000";NA;NA;NA
"37";NA;"10";"383";NA;NA;"Trahvid ja muud varalised karistused";"686 200";NA;NA;NA
"38";NA;"10";"388";NA;NA;"Muud eespool nimetamata tulud";"21 500";NA;NA;NA
"39";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-51 455 379";NA;NA;NA
"40";NA;"KULUD";NA;NA;NA;NA;"-47 773 870";NA;NA;NA
"41";NA;NA;NA;NA;NA;"Tegevuskulud";"-47 773 870";NA;NA;NA
"42";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-11 499 495";NA;NA;NA
"43";NA;"20";"45";NA;4;"Antud sihtotstarbelised toetused";"-10 038 953";NA;NA;NA
"44";NA;"20";"45";NA;4;"74001086. Eesti Maaülikool";"-303 316";NA;NA;NA
"45";NA;"20";"45";NA;5;"Antud sihtotstarbelised toetused";"-754 157";NA;NA;NA
"46";NA;"30";"45";"IN000099";4;"Täiendav eraldis";"-25 000";NA;NA;NA
"47";NA;"20";"45";"SE000099";4;"Täiendav eraldis";"-27 000";NA;NA;NA
"48";NA;"20";"45";"SE000003";4;"Liikmemaksud";"-351 069";NA;NA;NA
"49";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-36 274 375";NA;NA;NA
"50";NA;"10";"5";"SE000001";4;"Õppelaenude tagasimaksmisega seotud kulud";"-18 975";NA;NA;NA
"51";NA;"10";"5";"SE000001";8;"Õppelaenude tagasimaksmisega seotud kulud";"-1 477";NA;NA;NA
"52";NA;"20";"5";NA;4;"70000734. Maaeluministeerium";"-9 365 811";NA;NA;NA
"53";NA;"20";"5";NA;10;"70000734. Maaeluministeerium";"-26 209";NA;NA;NA
"54";NA;"20";"5";NA;4;"70005967. Põllumajanduse Registrite ja Informatsiooni Amet";"-6 579 225";NA;NA;NA
"55";NA;"20";"5";NA;4;"70000071. Põllumajandusamet";"-5 064 223";NA;NA;NA
"56";NA;"20";"5";NA;4;"70000094. Veterinaar- ja Toiduamet";"-6 228 233";NA;NA;NA
"57";NA;"20";"5";NA;4;"70000869. Eesti Taimekasvatuse Instituut";"-1 500 513";NA;NA;NA
"58";NA;"20";"5";NA;4;"70000059. Maamajanduse Infokeskus";"-354 617";NA;NA;NA
"59";NA;"20";"5";NA;4;"70000042. Põllumajandusuuringute Keskus";"-1 696 211";NA;NA;NA
"60";NA;"20";"5";NA;4;"70000065. Veterinaar- ja Toidulaboratoorium";"-1 887 511";NA;NA;NA
"61";NA;"20";"5";NA;8;"Põllumajandusmuuseumid";"-1 069 745";NA;NA;NA
"62";NA;"20";"5";"SE000028";4;"Vahendid Riigi Kinnisvara ASile";"-203 211";NA;NA;NA
"63";NA;"20";"5";"SE000027";4;"Euroopa Komisjoni tagasimakse kohustus";"-2 225 800";NA;NA;NA
"64";NA;"20";"5";"SE000033";8;"Vahendid EL Nõukogu eesistumiseks";"-52 614";NA;NA;NA
"65";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-3 681 509";NA;NA;NA
"66";NA;"30";NA;"IN080000";4;"Investeeringud";"-3 681 509";NA;NA;NA
"67";"TuludjatuludestsõltuvadkuludTULUD";NA;NA;NA;NA;NA;"311 178 313";NA;NA;NA
"68";NA;NA;"3";NA;NA;"Tegevustulud";"311 178 313";NA;NA;NA
"69";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"6 434 500";NA;NA;NA
"70";NA;"40";"322";NA;NA;"Tulu majandustegevusest";"6 434 500";NA;NA;NA
"71";NA;NA;"35";NA;NA;"Saadud toetused";"304 743 813";NA;NA;NA
"72";NA;"40";"358";"TP014001";NA;"Saadud kodumaised toetused";"33 716 907";NA;NA;NA
"73";NA;"40";"359";"VT000002";NA;"Saadudvälistoetused(MaaeluArenguEuroopaPõllumajandusfond
EAFRD)";"135 592 650";NA;NA;NA
"74";NA;"40";"359";"VT000003";NA;"Saadud välistoetused (Euroopa Merendus- ja Kalandusfond EMFF)";"10 357 500";NA;NA;NA
"75";NA;"40";"359";"VT000004";NA;"Saadud välistoetused (Euroopa Põllumajanduse Tagatisfond EAGF)";"124 795 378";NA;NA;NA
"76";NA;"40";"359";"VT000099";NA;"Saadud välistoetused (muud)";"281 378";NA;NA;NA
"77";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-311 178 313";NA;NA;NA
"78";NA;"KULUD";NA;NA;NA;NA;"-310 728 161";NA;NA;NA
"79";NA;NA;NA;NA;NA;"Tegevuskulud";"-310 728 161";NA;NA;NA
"80";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-299 174 621";NA;NA;NA
"81";NA;"40";"45";NA;4;"Antud sihtotstarbelised toetused";"-267 329 287";NA;NA;NA
"82";NA;"40";"45";"SE000003";4;"Liikmemaksud";"-65";NA;NA;NA
"83";NA;"40";"45";"SE000003";8;"Liikmemaksud";"-182";NA;NA;NA
"84";NA;"40";"45";NA;4;"Välistoetuste riiklik kaasfinantseering";"-31 845 087";NA;NA;NA
"85";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-11 553 540";NA;NA;NA
"86";NA;"40";"5";NA;4;"70005967. Põllumajanduse Registrite ja Informatsiooni Amet";"-2 681 680";NA;NA;NA
"87";NA;"40";"5";NA;4;"70000071. Põllumajandusamet";"-400 000";NA;NA;NA
"88";NA;"40";"5";NA;4;"70000094. Veterinaar- ja Toiduamet";"-1 941 000";NA;NA;NA
"89";NA;"40";"5";NA;4;"70000869. Eesti Taimekasvatuse Instituut";"-1 865 881";NA;NA;NA
"90";NA;"40";"5";NA;4;"70000059. Maamajanduse Infokeskus";"-116 280";NA;NA;NA
"91";NA;"40";"5";NA;4;"70000042. Põllumajandusuuringute Keskus";"-770 000";NA;NA;NA
"92";NA;"40";"5";NA;4;"70000065. Veterinaar- ja Toidulaboratoorium";"-1 773 561";NA;NA;NA
"93";NA;"40";"5";NA;8;"Põllumajandusmuuseumid";"-133 318";NA;NA;NA
"94";NA;"40";"5";NA;4;"Välistoetuste riiklik kaasfinantseering";"-1 871 820";NA;NA;NA
"95";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-450 152";NA;NA;NA
"96";NA;"40";NA;"IN080000";4;"Investeeringud";"-450 152";NA;NA;NA
"97";"EdasiantavadmaksudTULUD";NA;NA;NA;NA;NA;"750 000";NA;NA;NA
"98";NA;NA;"3";NA;NA;"Tegevustulud";"750 000";NA;NA;NA
"99";NA;NA;"38";NA;NA;"Muud tulud";"750 000";NA;NA;NA
"100";NA;"58";"382";NA;NA;"Keskkonnatasud (kalapüügiõiguse tasu)";"750 000";NA;NA;NA
"101";NA;"KULUD";NA;NA;NA;NA;"-750 000";NA;NA;NA
"102";NA;NA;NA;NA;NA;"Tegevuskulud";"-750 000";NA;NA;NA
"103";NA;NA;"60";NA;NA;"Muud tegevuskulud";"-750 000";NA;NA;NA
"104";NA;"58";"601";"SE000014";5;"Keskkonnatasud - Keskkonnainvesteeringute Keskus";"-750 000";NA;NA;NA
"105";"Fin.tehingudFINANTSEERIMISTEHINGUD";NA;NA;NA;NA;NA;"500 000";NA;NA;NA
"106";NA;"10";"101";NA;NA;"Finantsvarade suurenemine";"2 561 350";NA;NA;NA
"107";NA;"10";"102";NA;NA;"Finantsvarade vähenemine";"-2 061 350";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";NA;"Jagu 9. RAHANDUSMINISTEERIUMI valitsemisala";NA;NA;NA;NA;NA;NA;NA;NA
"2";NA;"TULUD KOKKU";NA;NA;NA;NA;"8 294 960 729";NA;NA;NA
"3";NA;NA;"3";NA;NA;"Tegevustulud";"8 161 296 039";NA;NA;NA
"4";NA;NA;"30";NA;NA;"Maksud ja sotsiaalkindlustusmaksed";"7 499 424 820";NA;NA;NA
"5";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"15 654 721";NA;NA;NA
"6";NA;NA;"320";NA;NA;"Riigilõivud";"14 541 227";NA;NA;NA
"7";NA;NA;"322";NA;NA;"Tulu majandustegevusest";"249 875";NA;NA;NA
"8";NA;NA;"323";NA;NA;"Muu kaupade ja teenuste müük";"863 619";NA;NA;NA
"9";NA;NA;"35";NA;NA;"Saadud toetused";"517 578 525";NA;NA;NA
"10";NA;NA;"358";NA;NA;"Saadud kodumaised toetused";"1 372 303";NA;NA;NA
"11";NA;NA;"359";NA;NA;"Saadud välistoetused";"516 206 222";NA;NA;NA
