pealkiri;nimetus
Häirekeskuse põhimäärus;Hädaabiteadete vastuvõtmine ja töötlemine hädaabinumbril 112
Hädaabiteadete menetlemise kord ja hädaabiteadete menetlemiseks vajalikele vahenditele esitatavad nõuded;Hädaabiteadete vastuvõtmine ja töötlemine hädaabinumbril 112
Päästeseadus;Päästemeeskondade ja kiirabibrigaadide operatiivne juhtimine
Häirekeskuse põhimäärus;Päästemeeskondade ja kiirabibrigaadide operatiivne juhtimine
Kiirabi, haiglate ning päästeasutuste ja politsei kiirabialase koostöö kord[RT I, 29.12.2011, 138 - jõust. 01.01.2012] ;Päästemeeskondade ja kiirabibrigaadide operatiivne juhtimine
Hädaabiteadete menetlemise kord ja hädaabiteadete menetlemiseks vajalikele vahenditele esitatavad nõuded;Päästemeeskondade ja kiirabibrigaadide operatiivne juhtimine
Häirekeskuse põhimäärus;Infoteadete vastuvõtmine
Hädaabiteadete menetlemise kord ja hädaabiteadete menetlemiseks vajalikele vahenditele esitatavad nõuded;Operatiivinformatsiooni edastamine
Päästeseadus;Operatiivinformatsiooni edastamine
Häirekeskuse põhimäärus;Operatiivinformatsiooni edastamine
Eesti Hariduse Infosüsteemi asutamine ning põhimäärus;E-tunnistuse kehtivuse kontrollimine (tööandjatele)
Keeleseadus;Eesti keele tasemeeksami andmete vaatamine
Eesti keele tasemeeksamite ülesehitus ja läbiviimise kord[RT I, 13.09.2012, 1 - jõust. 16.09.2012] ;Eesti keele tasemeeksamile registreerumine
Keeleseadus;Eesti keele tasemeeksamile registreerumine
Keeleseadus;Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksamile registreerimine
Kodakondsuse seadus;Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksamile registreerimine
Keeleseadus;Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksami andmete vaatamine
Kodakondsuse seadus;Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksami andmete vaatamine
Lõpueksamite, eesti keele tasemeeksami ning Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksami andmekogu asutamine ja põhimäärus[RT I, 10.07.2014, 1 - jõust. 01.08.2014] ;Riigieksamite andmete ja e-tunnistuse vaatamine
Põhikooli- ja gümnaasiumiseadus;Riigieksamite andmete ja e-tunnistuse vaatamine
Tasemetööde ning põhikooli ja gümnaasiumi lõpueksamite ettevalmistamise ja läbiviimise ning eksamitööde koostamise, hindamise ja säilitamise tingimused ja kord ning tasemetööde, ühtsete põhikooli lõpueksamite ja riigieksamite tulemuste analüüsimise tingimused ja kord;Riigieksamitele registreerimine
Riigieksamite vormid ja ajad, ühtsete põhikooli lõpueksamite ning tasemetööde õppeained, vormid ja ajad 2015/2016. õppeaastal;Riigieksamitele registreerimine
Lõpueksamite, eesti keele tasemeeksami ning Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksami andmekogu asutamine ja põhimäärus[RT I, 10.07.2014, 1 - jõust. 01.08.2014] ;Eksamitööga tutvumine ja vaide esitamine
Riigieksamite vormid ja ajad, ühtsete põhikooli lõpueksamite ning tasemetööde õppeained, vormid ja ajad 2015/2016. õppeaastal;Eksamitööga tutvumine ja vaide esitamine
Lõpueksamite, eesti keele tasemeeksami ning Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksami andmekogu asutamine ja põhimäärus[RT I, 10.07.2014, 1 - jõust. 01.08.2014] ;E-riigieksamitunnistuse kinnitatud väljatrüki taotlemine
Keeleseadus;Eesti keele tasemeeksami duplikaadi taotlemine
Keeleseadus;Eesti keele õppe kulude hüvitamise taotlemine
Kodakondsuse seadus;Eesti keele õppe kulude hüvitamise taotlemine
Keeleseadus;Erivajadustega arvestamise taotlus eesti keele tasemeeksamil
Lõpueksamite, eesti keele tasemeeksami ning Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksami andmekogu asutamine ja põhimäärus[RT I, 10.07.2014, 1 - jõust. 01.08.2014] ;Riigieksami korduvsooritusele registreerimine
