pealkiri;nimetus
Trammijuhi kvalifikatsiooninõuded, trammijuhi ettevalmistamise, eksamineerimise ja temale trammi juhtimise õiguse andmise kord;Taotluse esitamine mootorsõidukijuhi, trammijuhi ja vedurijuhi riikliku teooriaeksami sooritamiseks
Liiklusseadus1;Taotluse esitamine mootorsõidukijuhi-ja trammijuhi riikliku sõidueksami sooritamiseks
Mootorsõidukijuhi eksamineerimise, talle juhtimisõiguse andmise kord ja juhiloa vormid ning nõuded eksamisõidukitele1;Taotluse esitamine mootorsõidukijuhi-ja trammijuhi riikliku sõidueksami sooritamiseks
Traktori-, liikurmasina- ja masinrongijuhi liiklusalased kvalifikatsiooninõuded, ettevalmistamise tingimused ja kord, eksamineerimise ning temale juhtimisõiguse andmise kord, nõuded eksamisõidukile ja õppekava;Taotluse esitamine mootorsõidukijuhi-ja trammijuhi riikliku sõidueksami sooritamiseks
Trammijuhi kvalifikatsiooninõuded, trammijuhi ettevalmistamise, eksamineerimise ja temale trammi juhtimise õiguse andmise kord;Taotluse esitamine mootorsõidukijuhi-ja trammijuhi riikliku sõidueksami sooritamiseks
Liiklusseadus1;Mootorsõidukijuhi juhendaja tunnistuse taotlemine
Mootorsõidukijuhi juhendaja tunnistuse väljaandmise kord[RT I, 20.05.2015, 1 - jõust. 23.05.2015] ;Mootorsõidukijuhi juhendaja tunnistuse taotlemine
Mootorsõidukijuhi õpetaja kvalifikatsiooni nõuded, õpetajakoolituse ja õpetaja täienduskoolituse korralduse nõuded ning mootorsõidukijuhi õpetamise õigust tõendava tunnistuse taotlemise, väljastamise ja kehtetuks tunnistamise kord;Mootorsõidukijuhi õpetaja tunnistuse taotlemine
Mootorsõidukijuhi juhendaja tunnistuse väljaandmise kord[RT I, 20.05.2015, 1 - jõust. 23.05.2015] ;Mootorsõidukijuhi õpetaja tunnistuse taotlemine
Liiklusseadus1;Sõiduki - ja juhtimisõigusega seotud andmete väljastamise taotlemine (liiklusregister)
Liiklusregistri elektroonsetele andmetele juurdepääsu kord;Sõiduki - ja juhtimisõigusega seotud andmete väljastamise taotlemine (liiklusregister)
Ühistranspordiseadus;Päring ühistranspordi alase info väljastamiseks
Ehitusseadustik1;Päring teega seotud andmete väljastamiseks (teeregister)
Ehitusseadustik1;Avalikult  kasutatava ja avalikkusele ligipääsetava eratee registreerimimine ja andmete muutmine teeregistris
Liikluspiirangute avalikustamise ja liikluskeelu alasse loa taotlemise ja loa väljastamise kord;Suur- ja raskeveoste erilubade ja liikluskeelu alaste lubade taotlemine
Eriveo tingimused ning eriveo teostamise ja erilubade väljaandmise kord ning tee omanikule tekitatud kulutuste hüvitamise, eriloa menetlustasu ja eritasu määrad;Suur- ja raskeveoste erilubade ja liikluskeelu alaste lubade taotlemine
Liiklusseadus1;Suur- ja raskeveoste erilubade ja liikluskeelu alaste lubade taotlemine
Ehitusseadustik1;Suur- ja raskeveoste erilubade ja liikluskeelu alaste lubade taotlemine
Mootorsõiduki ja selle haagise tehnonõuded ning nõuded varustusele;Suur- ja raskeveoste erilubade ja liikluskeelu alaste lubade taotlemine
Reguleerija koolitamise kord, reguleerija tunnistuse vorm ja selle väljaandmise kord;Reguleerija koolitajana tunnustamise taotlemine
Liiklusseadus1;Reguleerija koolitajana tunnustamise taotlemine
Tähistatavate teede liigid, juhatus- ja teeninduskohamärkide paigaldamise kord ning sihtpunktidele viitamise süsteem;Liiklusväliste teabevahendite ja liikluskorraldusvahendite paigaldamisega seotud loa ning nõusoleku taotlemine riigiteele või teekaitsevööndisse
Liikluskorralduse nõuded teetöödel;Liiklusväliste teabevahendite ja liikluskorraldusvahendite paigaldamisega seotud loa ning nõusoleku taotlemine riigiteele või teekaitsevööndisse
Liiklusseadus1;Liiklusväliste teabevahendite ja liikluskorraldusvahendite paigaldamisega seotud loa ning nõusoleku taotlemine riigiteele või teekaitsevööndisse
Liiklusmärkide ja teemärgiste tähendused ning nõuded fooridele;Liiklusväliste teabevahendite ja liikluskorraldusvahendite paigaldamisega seotud loa ning nõusoleku taotlemine riigiteele või teekaitsevööndisse
Auto, mootorratta, mopeedi ja nende haagiste tüübikinnituse, üksiksõiduki kinnituse ja ümberehituse tingimused, nõuded ja kord1;Euroopa ühenduse ( EÜ) tüübikinnituse taotlemine
Mootorsõiduki ja selle haagise registreerimise tingimused ja kord1;Õiguse taotlemine sõidukite registreerimiseelse tehnonõuetele vastavuse kontrolli läbiviimiseks
Liiklusseadus1;Õiguse taotlemine sõidukite registreerimiseelse tehnonõuetele vastavuse kontrolli läbiviimiseks
Liiklusseadus1;Õiguse taotlemine tehnoülevaatuse läbiviimiseks
Mootorsõiduki ja selle haagise tehnonõuetele vastavuse kontrollimise tingimused ja kord1;Õiguse taotlemine tehnoülevaatuse läbiviimiseks
Autoveoseadus1;Taotluse esitamine ohtlikke veoseid vedava autojuhi riikliku eksami sooritamiseks ja autojuhi koolitustunnistuse taotlemine
Ohtlike veoste autoveo eeskiri1;Taotluse esitamine ohtlikke veoseid vedava autojuhi riikliku eksami sooritamiseks ja autojuhi koolitustunnistuse taotlemine
Ohtlikke veoseid vedava autojuhi kutseoskusnõuded, koolitamise eeskiri ja koolituskursuse õppekava;Taotluse esitamine ohtlikke veoseid vedava autojuhi riikliku eksami sooritamiseks ja autojuhi koolitustunnistuse taotlemine
Kemikaaliseadus1;Ohtlike veoste (ADR) veo ohutusnõuniku tunnistuse taotlemine
Meresõiduohutuse seadus1;Väikelaeva- ja jetijuhi tunnistuse taotlemine
Väikelaevajuhi teadmiste, oskuste ja väljaõppe nõuded ning tunnistuste vormid[RT I, 04.06.2013, 3 - jõust. 07.06.2013] ;Väikelaeva- ja jetijuhi tunnistuse taotlemine
Jeti ohutu kasutamise ja jetijuhi ettevalmistamise nõuded ning jetijuhi tunnistuse vorm;Väikelaeva- ja jetijuhi tunnistuse taotlemine
Jalgratturi ja pisimopeedijuhi ettevalmistamise, eksamineerimise ning juhiloa väljastamise kord, jalgratturi juhiloa vorm ning nõuded õppevahenditele ja õppeväljakutele ning jalgratturi kvalifikatsioonile;Taotluse esitamine jalgratturi teooria- ja sõidueksami sooritamiseks
Märgukirjale ja selgitustaotlusele vastamise ning kollektiivse pöördumise esitamise seadus[RT I, 01.04.2014, 1 - jõust. 11.04.2014] ;Riigiteega seotud keskkonnaalase päringu/teabenõude/selgitustaotluse esitamine
Avaliku teabe seadus1;Riigiteega seotud keskkonnaalase päringu/teabenõude/selgitustaotluse esitamine
Keskkonnamõju hindamise ja keskkonnajuhtimissüsteemi seadus1;Seisukohtade taotlemine riigiteega seotud planeerimisdokumentidele ja projektide keskkonnamõju hinnangutele
Märgukirjale ja selgitustaotlusele vastamise ning kollektiivse pöördumise esitamise seadus[RT I, 01.04.2014, 1 - jõust. 11.04.2014] ;Õiguste taotlemine tehnovõrgu ja -rajatise ehitamiseks ja talumiseks riigitee maale
Ehitusseadustik1;Õiguste taotlemine tehnovõrgu ja -rajatise ehitamiseks ja talumiseks riigitee maale
Planeerimisseadus;Õiguste taotlemine tehnovõrgu ja -rajatise ehitamiseks ja talumiseks riigitee maale
Haldusmenetluse seadus;Õiguste taotlemine tehnovõrgu ja -rajatise ehitamiseks ja talumiseks riigitee maale
Liiklusseadus1;Õiguste taotlemine tehnovõrgu ja -rajatise ehitamiseks ja talumiseks riigitee maale
Asjaõigusseadus1;Õiguste taotlemine tehnovõrgu ja -rajatise ehitamiseks ja talumiseks riigitee maale
Ehitusseadustik1;Teedeehituse ja liiklusohutuse kutsekvalifikatsiooni tõendava dokumendi taotlemine
Välisriigi kutsekvalifikatsiooni tunnustamise seadus1;Teedeehituse ja liiklusohutuse kutsekvalifikatsiooni tõendava dokumendi taotlemine
Ehitusseadustik1;Loa taotlemine liiklusväliseks tegevuseks riigitee maal
Asjaõigusseadus1;Loa taotlemine liiklusväliseks tegevuseks riigitee maal
Planeerimisseadus;Seisukoha taotlemine planeeringu koostamiseks ja kooskõlastuse taotlemine planeeringule
Ehitusseadustik1;Seisukoha taotlemine planeeringu koostamiseks ja kooskõlastuse taotlemine planeeringule
Ehitusseadustik1;Nõusoleku taotlemine tegevuseks riigitee kaitsevööndis
Ehitusseadustik1;Õiguse taotlemine tee ühendamiseks olemasoleva riigiteega või  riigitee ümberehitamiseks
Teeregistri põhimäärus;Nõustamisabi taotlemine teeregistrisse esitatavate ja kantavate andmete esitamiseks
Ehitusseadustik1;Kooskõlastuse taotlemine riigitee ja külgnevate katastriüksuste piiriprotokollidele ja piiride korrektuur
Maakatastriseadus;Kooskõlastuse taotlemine riigitee ja külgnevate katastriüksuste piiriprotokollidele ja piiride korrektuur
Katastrimõõdistamise teostamise ja katastrimõõdistamise kontrollimise kord;Kooskõlastuse taotlemine riigitee ja külgnevate katastriüksuste piiriprotokollidele ja piiride korrektuur
Maakorraldusseadus;Kooskõlastuse taotlemine riigitee ja külgnevate katastriüksuste piiriprotokollidele ja piiride korrektuur
Aadressiandmete süsteem;Aadressiandmete süsteemi infosüsteem (ADS-i infosüsteem)
Ruumiandmete seadus1;Aadressiandmete süsteemi infosüsteem (ADS-i infosüsteem)
Riikliku kohanimeregistri pidamise põhimäärus;Riiklik Kohanimeregister (KNR)
Kohanimeseadus;Riiklik Kohanimeregister (KNR)
Eesti topograafia andmekogu andmete kasutusse andmise ja teenuste osutamise kord;Digitaalsete ruumiandmete ja aluskaartide kasutusse andmine
Eesti topograafia andmekogu andmete kasutusse andmise ja teenuste osutamise kord;Aluskaardi väljatrükk paberile
Maakatastriseadus;Digitaalsete katastripiiride tellimine
Maa-ameti põhimäärus;X-GIS kaardiserver
Eesti geoportaali ja selle infosüsteemi haldamise, arendamise, kasutamise ning selle kaudu teabe kättesaadavaks tegemise nõuded ja kord;Eesti geoportaali teenuskeskkond
Ruumiandmete seadus1;Eesti geoportaali teenuskeskkond
Maa-ameti põhimäärus;Maa-ameti WMS teenus
Maa-ameti põhimäärus;Suunatud kaardirakendused ja virtuaalkontorid
Maa-ameti põhimäärus;Kaardirakenduste tugi
Maa-ameti põhimäärus;X-GISi urliga pöördumine
Maa-ameti põhimäärus;Tervikteede loomine
Natura 2000 alal asuva erametsamaa kohta antava toetuse saamise nõuded, toetuse taotlemise ja taotluse menetlemise täpsem kord;Natura 2000 erametsatoetuse toetusõiguslike alade väljaselgitamine
Keskkonnaregistri seadus;Keskkonnaregistri maardlate nimistu andmete registreerimine
Keskkonnaregistri pidamise täpsustatud kord;Keskkonnaregistri maardlate nimistu andmete väljastamine
Keskkonnatasu deklaratsiooni vormid ja nende täitmise ning maavaravaru kaevandamise mahu aruande esitamise kord;Kaevandatud mahu aruannete vastuvõtmine
Maapõueseadus;Keskkonnaregistri maardlatel asuvate planeeringute kooskõlastamine
Ehitusgeoloogilisele uuringule esitatavad nõuded;Ehitusgeoloogia aruannete vastuvõtmine ja  avalikustamine
Maapõueseadus1;Puursüdamike andmebaasi teenus
Üldgeoloogilise uurimistöö ja geoloogilise uuringu aruande esitamise ning läbivaatamise kord;Geoloogiafondi teenus
Maakatastriseadus;Väljavõtted tehingute andmebaasist/Tehingute kaardirakendus
Maakatastriseadus;Kinnisvaraturu statistika ja kinnisvara hinnastatistika päringukeskkond
Maa hindamise seadus;Maa kvaliteedi ja hindamise kaardi ning maa korralise hindamise tulemuste avalikustamise teenus
Maa hindamise tegevuslitsentside väljaandmise kord;Maa hindamise tegevuslitsentside väljaandmine
Maamaksuseadus;Maamaksu alusandmete kogumine ning väljavõtted
Riigivaraseadus;Elektrooniline maaoksjon
Riigivaraseadus;Riigimaade müügi kaardirakendus
Riigivaraseadus;Keskkonnaministeeriumi riigivara arvestuse pidamise teenus
Looduskaitseseadus1;Vahetamiste, omandamiste ning ostueesõiguste päevaraamatud
Riigivaraseadus;Kasutuse virtuaalkontori kaardirakendus
Maa riigi omandisse jätmise korra kinnitamine;Riigimaa kasutuse kaardirakendus
Riigivaraseadus;Riigimaa kasutuse kaardirakendus
Riigivaraseadus;Ministeeriumite huvide kaardirakendus
Maakatastriseadus;Katastriüksuse päring asukoha järgi
Maakatastriseadus;Katastriüksuse päring tunnuse järgi
Maakatastriseadus;Maakatastri statistika teenus
Maakatastriseadus;Katastriüksuse andmete allalaadimise teenus
Maakatastriseadus;Kitsenduste andmete tellimine
Maakatastriseadus;Maakatastri digiarhiiv
Riigi maakatastri pidamise korra kinnitamine;Maakatastri digiarhiiv
Riigi maakatastri pidamise korra kinnitamine;Kitsendusi põhjustavate objektide infosüsteemi teenus
Maakatastriseadus;Kitsendusi põhjustavate objektide infosüsteemi teenus
Riigilõivuseadus;Maakatastri dokumentide väljastamine
Maakatastriseadus;Maakatastri dokumentide väljastamine
Maakatastriseadus;Maakatastri virtuaalkontor (MVK)
Katastrimõõdistamise teostamise ja katastrimõõdistamise kontrollimise kord;Maakatastri virtuaalkontor (MVK)
Riigi maakatastri pidamise korra kinnitamine;Maakatastri menetlusmoodul
Maakatastriseadus;Maakatastri menetlusmoodul
Geodeetiliste punktide andmekogu asutamine ja andmekogu pidamise põhimäärus;Geodeetiliste punktide andmekogu
Ruumiandmete seadus1;GNSS-RTK püsijaamade võrk
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Põllumajandusliku raamatupidamise andmebaasi andmete edastus Euroopa Komisjonile
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Põllumajandustootjate majandusnäitajate kogumik
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Põllumajandustootjate majandustulemuste andmebaas
Strateegilise kaubaga seotud toimingute vormid;Sõjalise kauba sisseveolitsentsi taotlemine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Sõjalise kauba sisseveolitsentsi taotlemine
Strateegiliste kaupade nimekiri;Sõjalise kauba sisseveolitsentsi taotlemine
Strateegilise kauba seadus1;Sõjalise kauba sisseveolitsentsi taotlemine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Sõjalise kauba väljaveolitsentsi taotlemine
Strateegiliste kaupade nimekiri;Sõjalise kauba väljaveolitsentsi taotlemine
Strateegilise kaubaga seotud toimingute vormid;Sõjalise kauba väljaveolitsentsi taotlemine
Strateegilise kauba seadus1;Sõjalise kauba väljaveolitsentsi taotlemine
Strateegiliste kaupade nimekiri;Sõjalise kauba transiidilitsentsi taotlemine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Sõjalise kauba transiidilitsentsi taotlemine
Strateegilise kauba seadus1;Sõjalise kauba transiidilitsentsi taotlemine
Strateegilise kaubaga seotud toimingute vormid;Sõjalise kauba transiidilitsentsi taotlemine
Strateegilise kaubaga seotud toimingute vormid;Ettevõtja sertifitseerimise taotlemine
Strateegilise kauba seadus1;Ettevõtja sertifitseerimise taotlemine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Ettevõtja sertifitseerimise taotlemine
Strateegiliste kaupade nimekiri;Ettevõtja sertifitseerimise taotlemine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Sõjalise kauba vahendajaks registreerimise taotlemine
Strateegilise kauba seadus1;Sõjalise kauba vahendajaks registreerimise taotlemine
Strateegiliste kaupade nimekiri;Sõjalise kauba vahendajaks registreerimise taotlemine
Strateegilise kaubaga seotud toimingute vormid;Sõjalise kauba vahendajaks registreerimise taotlemine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Sõjalise kaubaga seotud teenuse osutamise litsentsi taotlemine
Strateegilise kaubaga seotud toimingute vormid;Sõjalise kaubaga seotud teenuse osutamise litsentsi taotlemine
Strateegiliste kaupade nimekiri;Sõjalise kaubaga seotud teenuse osutamise litsentsi taotlemine
Strateegilise kauba seadus1;Sõjalise kaubaga seotud teenuse osutamise litsentsi taotlemine
Strateegiliste kaupade nimekiri;Üldloa kasutajaks registreerimise taotlemine
Strateegilise kaubaga seotud toimingute vormid;Üldloa kasutajaks registreerimise taotlemine
Strateegilise kauba seadus1;Üldloa kasutajaks registreerimise taotlemine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Üldloa kasutajaks registreerimise taotlemine
Strateegiliste kaupade nimekiri;Lõppkasutaja sertifikaadi taotlemine
Strateegilise kauba seadus1;Lõppkasutaja sertifikaadi taotlemine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Lõppkasutaja sertifikaadi taotlemine
Strateegilise kaubaga seotud toimingute vormid;Lõppkasutaja sertifikaadi taotlemine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Rahvusvahelise impordisertifikaadi taotlemine
Strateegilise kaubaga seotud toimingute vormid;Rahvusvahelise impordisertifikaadi taotlemine
Strateegilise kauba seadus1;Rahvusvahelise impordisertifikaadi taotlemine
Strateegiliste kaupade nimekiri;Rahvusvahelise impordisertifikaadi taotlemine
Strateegiliste kaupade nimekiri;Kauba kättesaamise tõendi taotlemine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Kauba kättesaamise tõendi taotlemine
Strateegilise kauba seadus1;Kauba kättesaamise tõendi taotlemine
Strateegilise kaubaga seotud toimingute vormid;Kauba kättesaamise tõendi taotlemine
Konsulaarseadus;Avaliku dokumendi legaliseerimise taotlemine
Isikut tõendavate dokumentide seadus1;Eesti dokumendi tellimine
Konsulaarseadus;Eesti dokumendi tellimine
Perekonnaseisutoimingute seadus;Eesti dokumendi tellimine
Halduskoostöö seadus;Dokumentide edastamise taotlemine
Konsulaarseadus;Dokumentide edastamise taotlemine
Isikut tõendavate dokumentide seadus1;Dokumentide edastamise taotlemine
Perekonnaseisutoimingute seadus;Dokumentide edastamise taotlemine
Konsulaarseadus;Laevaloa taotlemine
Riigipiiri seadus1;Laevaloa taotlemine
Välisriigi laevale laevaloa taotlemise ja andmise kord;Laevaloa taotlemine
Lennundusseadus1;Lennuloa taotlemine
Konsulaarseadus;Lennuloa taotlemine
Konsulaarseadus;Püsivalt välisriigis elava Eesti kodaniku elukoha registreerimise taotlemine
Välisriigis ajutiselt viibiva või püsivalt elava Eesti kodaniku või välismaalase andmete registreerimise kord ja registreerimistaotluse vormid;Püsivalt välisriigis elava Eesti kodaniku elukoha registreerimise taotlemine
Konsulaarseadus;Eesti kodaniku passi taotlemine välismaal
Isikut tõendavate dokumentide seadus1;Eesti kodaniku passi taotlemine välismaal
Konsulaarseadus;Eesti kodaniku isikutunnistuse ehk ID-kaardi taotlemine välismaal
Isikut tõendavate dokumentide seadus1;Eesti kodaniku isikutunnistuse ehk ID-kaardi taotlemine välismaal
Isikut tõendavate dokumentide seadus1;Digi ID taotlemine välismaal
Konsulaarseadus;Digi ID taotlemine välismaal
Identity Documents Act1;E-residendi digitaalse isikutunnistuse taotlemine välismaal
Konsulaarseadus;E-residendi digitaalse isikutunnistuse taotlemine välismaal
Konsulaarseadus;Reisi targalt
Konsulaarseadus;Reisiinfo riigiti
Konsulaarseadus;Lühiajalise välisriigis viibimise registreerimine
Konsulaarseadus;Reisija meelespea
Konsulaarseadus;Tagasipöördumistunnistuse taotlemine
Tagasipöördumistunnistuse ja tagasipöördumise loa väljaandmise tähtajad ning tagasipöördumistunnistuse ja tagasipöördumise loa väljaandmise taotlemisel esitatavate tõendite ja andmete loetelu;Tagasipöördumistunnistuse taotlemine
Isikut tõendavate dokumentide seadus1;Tagasipöördumistunnistuse taotlemine
Konsulaarseadus;Tagasipöördumise loa taotlemine
Isikut tõendavate dokumentide seadus1;Tagasipöördumise loa taotlemine
Tagasipöördumistunnistuse ja tagasipöördumise loa väljaandmise tähtajad ning tagasipöördumistunnistuse ja tagasipöördumise loa väljaandmise taotlemisel esitatavate tõendite ja andmete loetelu;Tagasipöördumise loa taotlemine
Strateegilise kauba seadus1;Kahesuguse kasutusega kauba väljaveolitsentsi taotlemine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Kahesuguse kasutusega kauba väljaveolitsentsi taotlemine
Strateegiliste kaupade nimekiri;Kahesuguse kasutusega kauba väljaveolitsentsi taotlemine
Strateegilise kaubaga seotud toimingute vormid;Kahesuguse kasutusega kauba väljaveolitsentsi taotlemine
Strateegiliste kaupade nimekiri;Kahesuguse kasutusega kauba transiidilitsentsi taotlemine
Strateegilise kaubaga seotud toimingute vormid;Kahesuguse kasutusega kauba transiidilitsentsi taotlemine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Kahesuguse kasutusega kauba transiidilitsentsi taotlemine
Strateegilise kauba seadus1;Kahesuguse kasutusega kauba transiidilitsentsi taotlemine
Strateegilise kaubaga seotud toimingute vormid;Kahesuguse kasutusega kauba vahendusteenuse osutamise litsentsi taotlemine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Kahesuguse kasutusega kauba vahendusteenuse osutamise litsentsi taotlemine
Strateegilise kauba seadus1;Kahesuguse kasutusega kauba vahendusteenuse osutamise litsentsi taotlemine
Strateegiliste kaupade nimekiri;Kahesuguse kasutusega kauba vahendusteenuse osutamise litsentsi taotlemine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Kauba, mida on võimalik kasutada inimõiguste rikkumiseks,sisse- või väljaveolitsentsi taotlemine
Strateegiliste kaupade nimekiri;Kauba, mida on võimalik kasutada inimõiguste rikkumiseks,sisse- või väljaveolitsentsi taotlemine
Strateegilise kaubaga seotud toimingute vormid;Kauba, mida on võimalik kasutada inimõiguste rikkumiseks,sisse- või väljaveolitsentsi taotlemine
Strateegilise kauba seadus1;Kauba, mida on võimalik kasutada inimõiguste rikkumiseks,sisse- või väljaveolitsentsi taotlemine
Avaliku teabe seadus1;Päringud dokumendiregistrisse
Avaliku teabe seadus1;Teabenõude esitamine Välisministeeriumile
Välismaalaste seadus1;Schengeni viisa taotlemine
Välismaalaste seadus1;Viisa andmisest keeldumise, viisa kehtetuks tunnistamise või viisa  tühistamise otsuse vaidlustamine
Konsulaarseadus;Perekonnaseisusündmuse tõendi taotlemine välismaal
Rahvastikuregistri seadus;Perekonnaseisusündmuse tõendi taotlemine välismaal
Konsulaarseadus;Tõendi taotlemine välismaal
Äriseadustik;Tõendi taotlemine välismaal
Konsulaarseadus;Eesti kodakondsusest vabastamise taotlemine välismaal
Kodakondsuse seadus;Eesti kodakondsusest vabastamise taotlemine välismaal
Välissuhtlemisseadus;Arengu- ja humanitaarabi toetuste taotlemine
Arengu- ja humanitaarabi andmise tingimused ja kord;Arengu- ja humanitaarabi toetuste taotlemine
Strateegilise kaubaga seotud toimingute vormid;Strateegilise kauba aruannete esitamine
Strateegiliste kaupade nimekiri;Strateegilise kauba aruannete esitamine
Strateegilise kauba seadus1;Strateegilise kauba aruannete esitamine
Strateegilise kauba tolliformaalsuste ning tolli teavitamise kord Euroopa Liidu sisesel edasitoimetamisel ja relva transportimisel õhu kaudu;Strateegilise kauba aruannete esitamine
Strateegilise kauba seadus1;Kauba määratluse /eriloa vajalikkuse päringu esitamine
Konsulaarseadus;Andmehõivekannete tegemine rahvastikuregistrisse
Rahvastikuregistri seadus;Andmehõivekannete tegemine rahvastikuregistrisse
Avaliku teabe seadus;Teabenõue Kaitseväele
Eesti Vabariigi põhiseadus;Teaviku tellimine raamatukogust
Majandustegevuse seadustiku üldosa seadus1; Vastavushindamisasutusena tegutsemise loa väljastamine
Majandustegevuse seadustiku üldosa seadus1;Tegevusloa otsing majandustegevuse registrist
Majandustegevuse seadustiku üldosa seadus1;Registreeringute ja lubadega seotud otsingud majandustegevuse registrist
Majandustegevuse seadustiku üldosa seadus1;Ettevõtja otsing majandustegevuse registrist
Alkoholiseadus;Majandustegevusteade alkohoolse joogi jaemüügiks
Alkoholiseadus;Majandustegevusteade alkohoolse joogi hulgimüügiks
Tubakaseadus1;Majandustegevusteade alkohoolse toote ja tubakatoote jaemüügiks
Tubakaseadus1;Majandustegevusteade alkohoolse ja tubakatoote hulgimüügiks
Biotsiidiseadus1;Majandustegevusteade kahjuritõrjega tegelemiseks
Ehitusseadustik1;Majandustegevusteade ehitamiseks
Elektroonilise side seadus1;Majandustegevusteade sideteenuse osutamiseks
Hasartmänguseadus;Majandustegevusteade kaubandusliku loterii korraldamiseks
Tuleohutuse seadus;Majandustegevusteade tuleohutuse kontrollimise ja hooldamine
Turismiseadus;Majandustegevusteade reisiettevõtjana tegutsemisks
Tööturuteenuste ja -toetuste seadus1;Majandustegevusteade renditööjõu vahendamiseks ja tööjõu pakkumiseks
Ehitusseadus1;Kinnistul paiknevad Ehitisregistris registreeritud ehitised
Ehitusseadus1;Ehitisregistris registreeritud vallasvara
Ehitusseadustik1;Taotluste ja teatiste esitamine Ehitisregistris
Ehitusseadustik1;Ehitise otsing
Ehitusseadustik1;Ehitisega seotud avalike dokumentide otsing
Ehitusseadustik1;Ehitise soojus- ja jahutusseadmete andmete lisamine Ehitisregistrisse
Ehitusseadustik1;Ehitise ehitusdokumentatsiooni lisamine Ehitisregistrisse
Ehitusseadustik1;Juhendmaterjalid Ehitisregistri kasutamiseks
Ehitusseadustik1;Ehitusgeodeetilise mõõdistuse esitamine Ehitisregistrisse
Ehitusseadustik1;Ehitusgeoloogilise uuringu esitamine Ehitisregistrisse
Ehitusseadustik1;Teabenõue Ehitisregistri andmete kohta
Ehitusseadustik1;Ehitise auditi lisamine Ehitisregistrisse
Ehitusseadustik1;Ehitisregistri kasutajatugi
Ehitusseadustik1;Asutuse / ettevõtte registreerimine Ehitisregistris
Metsaseadus1;Metsainfo esitamine
Tulumaksuseadus1;Deklaratsiooni INF 1 esitamine
Tulumaksuseadus1;Deklaratsiooni INF 2 esitamine
Tulumaksuseadus1;Deklaratsiooni INF 3 esitamine
Tulumaksuseadus1;Deklaratsiooni INF 4 esitamine
Tulumaksuseadus1;Deklaratsiooni INF 5 esitamine
Tulumaksuseadus1;Deklaratsiooni INF 6 esitamine
Tulumaksuseadus1;Deklaratsiooni INF 9 esitamine
Tulumaksuseadus1;Deklaratsiooni INF 12 esitamine
Tulumaksuseadus1;Deklaratsiooni INF 14 esitamine
Tulumaksuseadus1;Deklaratsiooni INF 16 esitamine
Tulumaksuseadus1;Füüsilise isiku tuludeklaratsiooni (FIDEK) A vormi esitamine
Tulumaksuseadus1;Füüsilise isiku tuludeklaratsiooni (FIDEK) E vormi esitamine
Tulumaksuseadus1;Tuludeklaratsiooni E vormi lisa esitamine. Füüsilisest isikust ettevõtja ettevõtte üleandmine
Tulumaksuseadus1;Füüsilise isiku tuludeklaratsiooni juurde lisadokumentide esitamine
Tulumaksuseadus1;Tuludeklaratsiooni  vormi A tabelid 8 ja 9.7 esitamine. Välismaal saadud tulu ning välisriigis tasutud sotsiaalkindlustuse maksude ja maksete deklareerimine
